Resumption of the session	Reinício da sessão
We discussed that matter and we were unanimous, with the exception of the PPE and ELDR Groups. As my fellow chairmen will recall, I even mentioned that it was not a matter of knowing whether one was for or against the Tobin tax, but of whether one dared to hear what the Commission and the Council thought of it.	Nós discutimos, fomos unânimes - à excepção do Grupo do Partido Popular Europeu/Democratas Europeus e do Grupo do Partido Europeu dos Liberais, Democratas e Reformistas - e eu cheguei mesmo a observar, como se recordarão, caros confrades presidentes, que a questão não é a de saber se estamos a favor ou contra a taxa de Todin, mas sim a de saber se ousamos ouvir o que a Comissão e o Conselho pensam dela.
It is not a lot to ask.	Não é pedir muito.
I therefore repeat the proposal that this oral question to the Commission and the Council should be retained so that we can find out, once and for all, the positions of these two bodies regarding the proposal which is relatively modest but which would give a clear message to public opinion, particularly after the tide of feeling generated by the failure of the Seattle Conference.	Assim, reitero a proposta de se manter essa pergunta oral à Comissão e ao Conselho, a fim de conhecermos, de uma vez por todas, a posição daquelas duas instâncias perante esta proposta, relativamente modesta, mas que emitiria um sinal importante dirigido à opinião pública, sobretudo depois da emoção criada em torno do fracasso da Conferência de Seattle.
We shall proceed to vote on the PPE-DE Group' s request that the oral question regarding the capital tax be withdrawn from the agenda.	Coloco à votação o pedido do Grupo do Partido Popular Europeu/Democratas Europeus, que visa retirar da ordem do dia a pergunta oral relativa ao imposto sobre o capital.
(Parliament rejected the request, with 164 votes for, 166 votes against and 7 abstentions)	(O Parlamento rejeita o pedido, com 164 votos a favor, 166 votos contra e 7 abstenções)
Madam President, I would like to thank Mr Poettering for advertising this debate.	Senhora Presidente, gostaria de agradecer ao senhor deputado Poettering a publicidade que acaba de dar a este debate.
Thank you very much.	Obrigado.
Madam President, has my vote been counted? I was unable to vote electronically, since I do not have a card.	­ (ES) Senhora Presidente, será que se contou o meu voto, que não pôde ser efectuado electronicamente, pelo facto de eu não ter o cartão?
My vote was "in favour" .	O meu voto era "a favor".
Indeed, if we add the two Members who have declared themselves, then the result of the vote would be ....	Efectivamente, se juntarmos os dois colegas que se manifestaram, obteremos como resultado...
Madam President, the Presidency has already declared the result of the vote.	­ (ES) Senhora Presidente, a Presidência anunciou o resultado da votação.
There is no room for amendments.	Não há lugar para mudanças.
Ladies and gentlemen, once again, we see it is essential for Members to bring their voting cards along on a Monday.	Caros colegas, mais uma vez, temos todos de trazer o cartão à segunda-feira.
Clearly there is a problem here.	Estamos perante um problema.
That being the case, I shall have to make a decision.	Por conseguinte, tenho de tomar uma decisão.
I too forgot my card, and I would have voted against.	Também eu me esqueci do meu cartão, e teria votado contra.
I therefore consider that the oral question may be kept on the agenda as per the vote.	Assim, considero que a pergunta oral se mantém inscrita na ordem do dia
This is the last time that we shall make allowances for Members who have forgotten their cards.	É a última vezes que contaremos os cartões esquecidos.
Let that be clearly noted and understood.	Que fique bem claro e que se informe toda a gente.
(Applause)The oral question will therefore remain on the agenda, and yes, your President is entitled to vote just as she is entitled to forget her voting card.	(Aplausos)Sim, a pergunta oral mantém-se na ordem do dia, e sim, a presidente tem o direito de votar, como também tem o direito de se esquecer do cartão.
We shall continue with the other amendments to the agenda.	Vamos prosseguir com as outras modificações da ordem de trabalhos.
Madam President, in the earlier vote - and I will abide by your ruling on this matter - on the question of the strategic plan of the Commission I indicated that I would like to speak in advance of the vote on behalf of my Group.	Senhora Presidente, na votação anterior - e aceitarei a sua decisão nesta matéria - sobre a questão dos objectivos estratégicos da Comissão, informei que gostaria de, em nome do Grupo ELDR, usar da palavra antes da votação.
That did not happen.	Tal não se verificou.
I would appreciate it if, on the close of this item of business, I might be allowed to give an explanation of vote on behalf of my Group.	Solicitar­lhe­ia, pois, que, antes de passarmos ao próximo ponto da ordem do dia, me fosse permitido fazer uma declaração de voto em nome do meu grupo.
This is an important matter.	Trata­se de uma questão importante.
It would be useful for the record of the House to state how people perceive what we have just done in the light of their own political analysis.	Seria vantajoso para a reputação deste Parlamento declarar de que modo as pessoas interpretam o que acabamos de fazer à luz da sua própria análise política.
